,ID,AGE,Ethnicity,Married,Family Size,Education1,Education2,Income,Language,Education,Coffee,Hot Tea,Iced Tea,Egg Salad,Pickles,Corned Beef
108,31235.0,19.0,4,4,6,13,0,3,1,13,2.0,2.0,4.0,2.0,4.0,2.0
109,31236.0,5.0,1,0,4,0,0,10,1,0,1.0,1.0,1.0,1.0,3.0,1.0
111,31238.0,9.0,4,0,1,3,0,4,1,3,1.0,1.0,1.0,1.0,5.0,4.0
112,31239.0,18.0,3,5,5,13,0,11,1,13,1.0,2.0,4.0,1.0,7.0,1.0
113,31240.0,34.0,3,1,2,0,5,11,1,5,1.0,3.0,2.0,1.0,2.0,1.0
114,31241.0,40.0,2,1,3,0,2,11,2,2,1.0,1.0,1.0,1.0,2.0,5.0
115,31242.0,58.0,3,1,2,0,5,11,1,5,8.0,3.0,3.0,8.0,3.0,4.0
117,31244.0,23.0,3,6,2,0,5,6,1,5,2.0,3.0,2.0,2.0,7.0,5.0
118,31245.0,18.0,1,5,4,15,0,9,1,15,2.0,2.0,2.0,2.0,1.0,1.0
119,31246.0,17.0,3,5,3,10,0,5,1,10,1.0,1.0,1.0,1.0,4.0,1.0
123,31250.0,10.0,4,0,5,4,0,5,1,4,1.0,1.0,1.0,1.0,8.0,3.0
124,31251.0,3.0,4,0,4,0,0,3,1,0,1.0,1.0,1.0,1.0,3.0,2.0
125,31252.0,35.0,4,1,4,0,4,10,1,4,6.0,2.0,3.0,6.0,1.0,1.0
128,31255.0,34.0,1,1,3,0,2,6,2,2,1.0,1.0,3.0,1.0,2.0,1.0
129,31256.0,3.0,1,0,6,0,0,7,2,0,1.0,1.0,1.0,1.0,1.0,1.0
130,31257.0,70.0,3,1,2,0,4,4,1,4,8.0,5.0,6.0,8.0,5.0,8.0
131,31258.0,20.0,2,5,1,0,2,6,1,2,3.0,1.0,1.0,3.0,4.0,3.0
132,31259.0,35.0,4,5,1,0,4,7,1,4,1.0,1.0,1.0,1.0,1.0,10.0
134,31261.0,49.0,4,6,3,0,4,9,1,4,8.0,3.0,1.0,8.0,1.0,1.0
136,31263.0,78.0,4,1,2,0,1,5,1,1,7.0,1.0,1.0,7.0,2.0,1.0
137,31264.0,17.0,5,5,4,11,0,9,1,11,9.0,5.0,1.0,9.0,1.0,1.0
139,31266.0,62.0,3,2,1,0,3,5,1,3,8.0,1.0,1.0,8.0,4.0,6.0
140,31267.0,14.0,3,5,3,7,0,10,1,7,1.0,2.0,6.0,1.0,3.0,7.0
141,31268.0,40.0,3,1,5,0,3,2,1,3,4.0,1.0,10.0,4.0,5.0,5.0
143,31270.0,8.0,2,0,6,2,0,3,1,2,1.0,1.0,3.0,1.0,2.0,1.0
145,31272.0,11.0,4,0,4,5,0,1,1,5,1.0,1.0,1.0,1.0,2.0,8.0
146,31273.0,62.0,3,1,2,0,2,8,1,2,8.0,1.0,1.0,8.0,2.0,2.0
147,31274.0,56.0,3,4,1,0,3,4,1,3,9.0,1.0,8.0,9.0,3.0,4.0
148,31275.0,13.0,4,0,5,8,0,11,1,8,1.0,2.0,1.0,1.0,1.0,4.0
150,31277.0,61.0,3,1,2,0,5,11,1,5,7.0,5.0,3.0,7.0,2.0,2.0
152,31279.0,76.0,3,1,2,0,2,4,1,2,9.0,1.0,2.0,9.0,4.0,1.0
153,31280.0,60.0,3,2,1,0,3,5,1,3,5.0,6.0,2.0,5.0,88.0,2.0
154,31281.0,2.0,1,0,3,0,0,3,1,0,1.0,1.0,3.0,1.0,1.0,5.0
157,31284.0,80.0,3,1,3,0,5,11,1,5,1.0,8.0,3.0,1.0,2.0,1.0
158,31285.0,57.0,3,3,1,0,5,7,1,5,1.0,2.0,2.0,1.0,7.0,2.0
159,31286.0,27.0,1,1,4,0,4,4,2,4,1.0,1.0,1.0,1.0,1.0,1.0
162,31289.0,16.0,1,5,4,10,0,6,2,10,1.0,1.0,2.0,1.0,1.0,2.0
164,31291.0,52.0,4,1,2,0,4,9,1,4,5.0,1.0,3.0,5.0,4.0,5.0
167,31294.0,73.0,3,2,2,0,4,7,1,4,8.0,3.0,2.0,8.0,1.0,1.0
168,31295.0,11.0,4,0,5,5,0,3,1,5,1.0,1.0,3.0,1.0,5.0,5.0
169,31296.0,4.0,3,0,7,0,0,6,1,0,1.0,1.0,1.0,1.0,2.0,3.0
170,31297.0,85.0,3,2,2,0,3,11,1,3,88.0,88.0,88.0,88.0,4.0,2.0
171,31298.0,33.0,1,6,5,0,4,9,2,4,1.0,1.0,1.0,1.0,1.0,1.0
172,31299.0,9.0,5,0,5,3,0,8,1,3,1.0,1.0,1.0,1.0,5.0,5.0
173,31300.0,18.0,1,5,5,11,0,5,1,11,1.0,2.0,8.0,1.0,1.0,1.0
174,31301.0,66.0,1,4,2,0,2,6,1,2,7.0,4.0,3.0,7.0,2.0,2.0
175,31302.0,24.0,3,1,2,0,4,6,1,4,4.0,3.0,1.0,4.0,6.0,6.0
180,31307.0,77.0,3,1,2,0,3,9,1,3,7.0,1.0,6.0,7.0,8.0,6.0
181,31308.0,59.0,4,2,2,0,4,8,1,4,5.0,5.0,5.0,5.0,3.0,6.0
183,31310.0,15.0,3,5,4,9,0,11,1,9,1.0,1.0,1.0,1.0,2.0,4.0
184,31311.0,71.0,3,1,2,0,3,5,1,3,8.0,1.0,1.0,8.0,5.0,6.0
185,31312.0,10.0,1,0,6,5,0,7,2,5,3.0,1.0,1.0,3.0,1.0,1.0
187,31314.0,28.0,1,6,2,0,4,11,1,4,1.0,1.0,1.0,1.0,3.0,1.0
189,31316.0,10.0,4,0,6,3,0,11,1,3,1.0,4.0,4.0,1.0,4.0,2.0
191,31318.0,7.0,4,0,6,0,0,6,1,0,1.0,2.0,4.0,1.0,5.0,7.0
193,31320.0,13.0,4,0,3,6,0,5,1,6,1.0,1.0,2.0,1.0,7.0,2.0
194,31321.0,25.0,1,1,2,0,4,6,2,4,1.0,5.0,1.0,1.0,3.0,4.0
195,31322.0,4.0,1,0,5,0,0,6,1,0,1.0,1.0,1.0,1.0,2.0,7.0
197,31324.0,47.0,4,1,2,0,4,8,1,4,1.0,99.0,2.0,1.0,3.0,3.0
198,31325.0,27.0,3,6,3,0,2,6,1,2,1.0,2.0,4.0,1.0,3.0,8.0
199,31326.0,3.0,1,0,7,0,0,4,2,0,4.0,1.0,1.0,4.0,5.0,7.0
202,31329.0,10.0,3,0,5,5,0,11,1,5,1.0,1.0,1.0,1.0,4.0,3.0
203,31330.0,19.0,1,5,7,15,0,5,2,15,1.0,1.0,3.0,1.0,4.0,2.0
204,31331.0,16.0,4,5,3,9,0,6,1,9,1.0,1.0,3.0,1.0,1.0,5.0
205,31332.0,68.0,4,1,2,0,2,6,1,2,6.0,1.0,2.0,6.0,2.0,2.0
206,31333.0,29.0,1,5,2,0,4,7,1,4,6.0,1.0,8.0,6.0,1.0,1.0
207,31334.0,55.0,4,5,1,0,5,1,1,5,1.0,5.0,6.0,1.0,2.0,7.0
210,31337.0,54.0,3,1,2,0,4,11,1,4,8.0,2.0,1.0,8.0,7.0,5.0
212,31339.0,85.0,5,2,3,0,2,10,1,2,2.0,3.0,1.0,2.0,2.0,1.0
215,31342.0,11.0,4,0,3,5,0,10,1,5,1.0,1.0,1.0,1.0,4.0,5.0
216,31343.0,61.0,3,2,3,0,4,11,1,4,3.0,3.0,8.0,3.0,3.0,4.0
217,31344.0,55.0,3,1,2,0,5,11,1,5,8.0,5.0,3.0,8.0,2.0,2.0
218,31345.0,67.0,3,1,2,0,2,6,1,2,1.0,8.0,1.0,1.0,2.0,1.0
219,31346.0,7.0,3,0,7,1,0,7,1,1,1.0,1.0,1.0,1.0,3.0,1.0
221,31348.0,62.0,4,1,2,0,2,11,1,2,1.0,4.0,8.0,1.0,4.0,1.0
224,31351.0,6.0,4,0,6,0,0,11,1,0,1.0,3.0,3.0,1.0,1.0,1.0
225,31352.0,15.0,4,5,6,9,0,13,1,9,1.0,1.0,3.0,1.0,2.0,4.0
226,31353.0,53.0,3,1,7,0,3,8,1,3,8.0,1.0,3.0,8.0,5.0,1.0
231,31358.0,62.0,4,1,3,0,4,3,1,4,3.0,1.0,5.0,3.0,5.0,6.0
232,31359.0,3.0,1,0,4,0,0,5,1,0,1.0,1.0,1.0,1.0,8.0,7.0
234,31361.0,30.0,3,1,5,0,4,6,1,4,3.0,5.0,6.0,3.0,8.0,2.0
238,31365.0,16.0,4,5,5,10,0,11,1,10,1.0,1.0,2.0,1.0,2.0,2.0
240,31367.0,85.0,3,2,2,0,3,6,1,3,1.0,8.0,1.0,1.0,1.0,1.0
243,31370.0,19.0,1,5,3,15,0,4,1,15,1.0,1.0,1.0,1.0,88.0,5.0
245,31372.0,48.0,4,6,1,0,4,9,1,4,7.0,3.0,8.0,7.0,5.0,5.0
247,31374.0,4.0,3,0,6,0,0,2,1,0,1.0,1.0,1.0,1.0,1.0,6.0
250,31377.0,4.0,3,0,3,0,0,5,1,0,1.0,1.0,1.0,1.0,6.0,1.0
253,31380.0,69.0,4,1,4,0,2,7,1,2,88.0,88.0,88.0,88.0,88.0,88.0
254,31381.0,34.0,5,1,3,0,2,7,1,2,2.0,88.0,88.0,2.0,2.0,2.0
257,31384.0,11.0,3,0,4,5,0,6,1,5,1.0,1.0,1.0,1.0,5.0,2.0
258,31385.0,7.0,5,0,7,1,0,11,1,1,1.0,1.0,1.0,1.0,1.0,4.0
259,31386.0,45.0,3,1,3,0,2,6,1,2,8.0,1.0,3.0,8.0,5.0,5.0
260,31387.0,40.0,4,6,5,0,3,3,1,3,1.0,2.0,3.0,1.0,2.0,9.0
261,31388.0,60.0,3,5,1,0,3,5,1,3,7.0,7.0,3.0,7.0,1.0,1.0
262,31389.0,10.0,3,0,4,3,0,11,1,3,1.0,1.0,1.0,1.0,5.0,3.0
266,31393.0,70.0,4,5,2,0,1,2,1,1,7.0,1.0,1.0,7.0,6.0,5.0
268,31395.0,17.0,1,5,7,11,0,4,1,11,1.0,1.0,1.0,1.0,1.0,1.0
269,31396.0,55.0,1,3,2,0,4,8,1,4,8.0,1.0,1.0,8.0,4.0,1.0
270,31397.0,13.0,1,0,7,7,0,8,2,7,1.0,1.0,1.0,1.0,2.0,1.0
272,31399.0,59.0,3,3,1,0,4,7,1,4,3.0,8.0,6.0,3.0,3.0,3.0
273,31400.0,78.0,3,2,2,0,4,99,1,4,8.0,2.0,2.0,8.0,3.0,1.0
274,31401.0,2.0,3,0,4,0,0,11,1,0,1.0,1.0,1.0,1.0,4.0,2.0
275,31402.0,11.0,4,0,6,4,0,6,1,4,1.0,2.0,4.0,1.0,5.0,7.0
277,31404.0,2.0,1,0,4,0,0,11,1,0,1.0,1.0,2.0,1.0,1.0,1.0
283,31410.0,42.0,3,1,5,0,5,11,1,5,1.0,2.0,1.0,1.0,4.0,4.0
284,31411.0,4.0,1,0,3,0,0,9,1,0,1.0,1.0,1.0,1.0,4.0,8.0
285,31412.0,2.0,1,0,4,0,0,9,1,0,1.0,1.0,2.0,1.0,5.0,4.0
298,31425.0,63.0,3,1,2,0,4,9,1,4,2.0,1.0,1.0,2.0,2.0,6.0
299,31426.0,16.0,5,5,5,10,0,6,1,10,1.0,2.0,1.0,1.0,5.0,7.0
300,31427.0,16.0,4,5,6,9,0,2,1,9,1.0,5.0,6.0,1.0,8.0,2.0
302,31429.0,40.0,4,1,6,0,2,10,1,2,4.0,1.0,1.0,4.0,5.0,3.0
303,31430.0,19.0,3,5,1,15,0,12,1,15,5.0,1.0,3.0,5.0,2.0,6.0
305,31432.0,45.0,3,1,5,0,5,11,1,5,7.0,2.0,2.0,7.0,7.0,3.0
306,31433.0,4.0,1,0,4,0,0,9,1,0,2.0,2.0,4.0,2.0,5.0,2.0
308,31435.0,38.0,4,1,4,0,3,7,1,3,7.0,3.0,3.0,7.0,7.0,1.0
310,31437.0,59.0,5,1,3,0,4,5,1,4,9.0,1.0,2.0,9.0,6.0,5.0
312,31439.0,31.0,3,1,3,0,5,8,1,5,2.0,2.0,8.0,2.0,4.0,2.0
314,31441.0,62.0,4,3,2,0,4,9,1,4,7.0,1.0,2.0,7.0,2.0,5.0
315,31442.0,67.0,1,1,4,0,4,7,1,4,6.0,2.0,5.0,6.0,9.0,5.0
316,31443.0,19.0,1,5,6,13,0,8,1,13,1.0,3.0,3.0,1.0,5.0,1.0
318,31445.0,3.0,1,0,5,0,0,4,2,0,1.0,1.0,1.0,1.0,1.0,1.0
320,31447.0,85.0,3,2,1,0,3,2,1,3,8.0,1.0,1.0,8.0,3.0,2.0
321,31448.0,2.0,1,0,5,0,0,7,2,0,1.0,1.0,1.0,1.0,1.0,1.0
325,31452.0,54.0,4,6,2,0,5,9,1,5,4.0,1.0,8.0,4.0,2.0,6.0
326,31453.0,15.0,5,5,5,9,0,11,1,9,1.0,3.0,3.0,1.0,1.0,1.0
327,31454.0,75.0,2,1,3,0,1,2,2,1,7.0,4.0,1.0,7.0,8.0,1.0
329,31456.0,11.0,3,0,5,5,0,11,1,5,1.0,1.0,1.0,1.0,6.0,1.0
330,31457.0,61.0,1,2,1,0,3,8,1,3,1.0,2.0,3.0,1.0,7.0,1.0
331,31458.0,13.0,1,0,5,7,0,11,1,7,1.0,5.0,3.0,1.0,88.0,5.0
332,31459.0,3.0,3,0,4,0,0,11,1,0,1.0,1.0,2.0,1.0,1.0,7.0
333,31460.0,37.0,4,3,7,0,4,7,1,4,2.0,3.0,5.0,2.0,6.0,2.0
335,31462.0,4.0,4,0,3,0,0,3,1,0,1.0,1.0,3.0,1.0,5.0,1.0
336,31463.0,48.0,4,3,2,0,3,8,1,3,1.0,3.0,3.0,1.0,1.0,3.0
337,31464.0,64.0,3,1,2,0,5,11,1,5,1.0,5.0,7.0,1.0,3.0,4.0
338,31465.0,7.0,3,0,3,1,0,10,1,1,1.0,1.0,1.0,1.0,1.0,1.0
342,31469.0,74.0,3,1,2,0,5,11,1,5,8.0,8.0,3.0,8.0,5.0,1.0
343,31470.0,26.0,1,1,6,0,3,4,2,3,1.0,1.0,1.0,1.0,1.0,1.0
344,31471.0,49.0,4,1,2,0,2,7,1,2,8.0,5.0,3.0,8.0,88.0,1.0
345,31472.0,76.0,3,1,2,0,4,4,1,4,10.0,3.0,3.0,10.0,7.0,8.0
346,31473.0,5.0,4,0,4,0,0,13,1,0,1.0,2.0,6.0,1.0,7.0,9.0
347,31474.0,6.0,3,0,2,0,0,10,1,0,1.0,1.0,1.0,1.0,4.0,1.0
349,31476.0,5.0,1,0,5,0,0,9,1,0,1.0,1.0,1.0,1.0,1.0,1.0
351,31478.0,9.0,1,0,6,3,0,7,2,3,3.0,1.0,1.0,3.0,1.0,1.0
354,31481.0,18.0,3,5,4,15,0,7,1,15,1.0,1.0,1.0,1.0,6.0,5.0
356,31483.0,50.0,3,6,2,0,4,11,1,4,10.0,6.0,8.0,10.0,5.0,2.0
357,31484.0,7.0,4,0,6,1,0,4,1,1,1.0,1.0,4.0,1.0,5.0,6.0
358,31485.0,15.0,3,5,3,9,0,10,1,9,8.0,1.0,3.0,8.0,8.0,7.0
359,31486.0,50.0,3,1,2,0,2,8,1,2,10.0,1.0,1.0,10.0,2.0,2.0
360,31487.0,37.0,4,3,1,0,4,4,1,4,7.0,8.0,1.0,7.0,5.0,1.0
361,31488.0,38.0,3,1,4,0,4,6,1,4,88.0,88.0,88.0,88.0,4.0,5.0
368,31495.0,8.0,5,0,6,2,0,8,1,2,1.0,1.0,1.0,1.0,1.0,5.0
369,31496.0,51.0,1,3,3,0,4,77,1,4,8.0,2.0,3.0,8.0,6.0,4.0
370,31497.0,50.0,3,3,1,0,3,4,1,3,8.0,1.0,5.0,8.0,1.0,5.0
371,31498.0,63.0,1,1,1,0,1,3,2,1,99.0,99.0,99.0,99.0,99.0,99.0
375,31502.0,38.0,3,1,5,0,3,8,1,3,8.0,1.0,1.0,8.0,3.0,2.0
376,31503.0,47.0,3,1,3,0,4,5,1,4,1.0,8.0,5.0,1.0,6.0,5.0
379,31506.0,73.0,3,1,2,0,1,4,1,1,8.0,1.0,1.0,8.0,3.0,2.0
381,31508.0,73.0,3,1,6,0,2,7,1,2,10.0,5.0,5.0,10.0,2.0,5.0
382,31509.0,35.0,3,4,2,0,4,3,1,4,10.0,4.0,6.0,10.0,8.0,3.0
383,31510.0,32.0,1,1,5,0,2,6,2,2,7.0,1.0,1.0,7.0,2.0,1.0
385,31512.0,51.0,1,1,4,0,1,3,2,1,88.0,3.0,2.0,88.0,1.0,2.0
387,31514.0,17.0,1,6,7,11,0,5,2,11,1.0,1.0,1.0,1.0,1.0,1.0
388,31515.0,16.0,1,5,7,10,0,6,1,10,1.0,1.0,1.0,1.0,1.0,1.0
390,31517.0,51.0,3,3,4,0,3,5,1,3,1.0,4.0,10.0,1.0,3.0,2.0
391,31518.0,40.0,5,6,2,0,4,7,1,4,1.0,1.0,1.0,1.0,1.0,1.0
392,31519.0,57.0,3,3,1,0,3,11,1,3,9.0,1.0,2.0,9.0,5.0,2.0
393,31520.0,53.0,4,3,1,0,2,3,1,2,1.0,8.0,8.0,1.0,6.0,7.0
394,31521.0,13.0,3,0,5,7,0,11,1,7,2.0,1.0,1.0,2.0,1.0,1.0
395,31522.0,28.0,3,6,1,0,3,11,1,3,7.0,1.0,8.0,7.0,4.0,4.0
398,31525.0,33.0,3,1,4,0,5,8,1,5,2.0,2.0,5.0,2.0,5.0,6.0
402,31529.0,42.0,3,5,3,0,3,10,1,3,1.0,1.0,6.0,1.0,3.0,7.0
404,31531.0,80.0,3,1,2,0,4,12,1,4,9.0,88.0,5.0,9.0,1.0,5.0
405,31532.0,19.0,4,5,1,15,0,3,1,15,5.0,1.0,2.0,5.0,8.0,4.0
406,31533.0,20.0,1,5,2,0,4,12,1,4,1.0,2.0,1.0,1.0,2.0,2.0
409,31536.0,4.0,1,0,5,0,0,11,1,0,1.0,3.0,2.0,1.0,7.0,8.0
410,31537.0,16.0,3,5,6,10,0,6,1,10,4.0,1.0,6.0,4.0,1.0,2.0
412,31539.0,17.0,5,5,6,11,0,6,1,11,2.0,1.0,1.0,2.0,2.0,2.0
413,31540.0,18.0,4,5,4,11,0,7,1,11,1.0,1.0,1.0,1.0,2.0,1.0
418,31545.0,33.0,1,1,3,0,1,5,2,1,3.0,5.0,1.0,3.0,1.0,4.0
421,31548.0,69.0,1,4,1,0,1,4,1,1,8.0,1.0,1.0,8.0,1.0,1.0
422,31549.0,7.0,3,0,3,1,0,6,1,1,1.0,1.0,1.0,1.0,6.0,5.0
423,31550.0,23.0,3,6,4,0,4,7,1,4,1.0,2.0,2.0,1.0,4.0,5.0
424,31551.0,53.0,3,2,1,0,4,3,1,4,8.0,4.0,7.0,8.0,6.0,2.0
426,31553.0,48.0,1,1,4,0,3,7,1,3,1.0,88.0,5.0,1.0,2.0,3.0
427,31554.0,15.0,4,5,5,9,0,7,1,9,1.0,4.0,4.0,1.0,2.0,1.0
429,31556.0,18.0,4,5,1,13,0,3,1,13,1.0,1.0,1.0,1.0,5.0,2.0
432,31559.0,66.0,3,1,3,0,3,8,1,3,1.0,5.0,8.0,1.0,4.0,3.0
434,31561.0,12.0,4,0,7,4,0,8,1,4,1.0,1.0,2.0,1.0,1.0,1.0
436,31563.0,61.0,3,1,2,0,3,8,1,3,7.0,5.0,5.0,7.0,5.0,2.0
440,31567.0,55.0,3,1,2,0,5,11,1,5,6.0,3.0,2.0,6.0,7.0,4.0
442,31569.0,62.0,3,1,2,0,3,11,1,3,7.0,2.0,10.0,7.0,2.0,2.0
443,31570.0,52.0,3,1,5,0,4,11,1,4,6.0,8.0,3.0,6.0,7.0,5.0
447,31574.0,14.0,3,5,6,8,0,11,1,8,1.0,1.0,1.0,1.0,8.0,3.0
448,31575.0,15.0,3,5,4,9,0,9,1,9,1.0,1.0,2.0,1.0,6.0,9.0
450,31577.0,52.0,3,3,1,0,4,7,1,4,8.0,2.0,88.0,8.0,2.0,2.0
452,31579.0,19.0,3,5,3,15,0,10,1,15,1.0,1.0,8.0,1.0,1.0,1.0
455,31582.0,37.0,4,1,5,0,4,11,1,4,1.0,1.0,2.0,1.0,4.0,2.0
456,31583.0,13.0,1,0,7,6,0,3,1,6,1.0,1.0,1.0,1.0,4.0,6.0
458,31585.0,40.0,1,1,6,0,4,6,2,4,7.0,5.0,1.0,7.0,1.0,4.0
461,31588.0,19.0,3,5,5,13,0,9,1,13,1.0,1.0,5.0,1.0,4.0,1.0
463,31590.0,49.0,1,1,4,0,2,4,1,2,7.0,2.0,2.0,7.0,3.0,1.0
464,31591.0,51.0,4,1,4,0,5,11,1,5,7.0,4.0,4.0,7.0,4.0,1.0
465,31592.0,62.0,1,1,6,0,1,6,2,1,5.0,5.0,1.0,5.0,1.0,2.0
469,31596.0,10.0,4,0,4,4,0,11,1,4,1.0,4.0,3.0,1.0,1.0,1.0
470,31597.0,18.0,2,5,4,15,0,8,1,15,1.0,1.0,1.0,1.0,1.0,5.0
474,31601.0,82.0,3,1,2,0,4,7,1,4,7.0,1.0,1.0,7.0,6.0,4.0
475,31602.0,4.0,3,0,3,0,0,2,1,0,1.0,1.0,1.0,1.0,7.0,2.0
476,31603.0,79.0,3,5,1,0,2,2,1,2,7.0,1.0,1.0,7.0,2.0,2.0
477,31604.0,16.0,4,5,4,10,0,11,1,10,1.0,1.0,1.0,1.0,2.0,1.0
478,31605.0,11.0,3,0,7,4,0,6,1,4,1.0,2.0,2.0,1.0,4.0,4.0
479,31606.0,78.0,3,1,2,0,3,4,1,3,9.0,8.0,8.0,9.0,99.0,99.0
480,31607.0,10.0,1,0,5,4,0,4,2,4,1.0,1.0,1.0,1.0,1.0,1.0
481,31608.0,40.0,4,1,4,0,5,3,1,5,7.0,3.0,3.0,7.0,5.0,2.0
